Path,Name,Value
HKCU:\Software\Policies\Microsoft\Internet Explorer\Control Panel,FormSuggest Passwords,1
HKCU:\Software\Policies\Microsoft\Internet Explorer\Main,FormSuggest Passwords,no
HKCU:\Software\Policies\Microsoft\Internet Explorer\Main,FormSuggest PW Ask,no
HKLM:\Software\Policies\Microsoft\Internet Explorer\Download,CheckExeSignatures,yes
HKLM:\Software\Policies\Microsoft\Internet Explorer\Download,RunInvalidSignatures,0
HKLM:\Software\Policies\Microsoft\Internet Explorer\Feeds,DisableEnclosureDownload,1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main,DisableEPMCompat,1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main,Isolation,PMEM
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main,Isolation64Bit,1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_DISABLE_MK_PROTOCOL,(Reserved),1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_DISABLE_MK_PROTOCOL,explorer.exe,1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_DISABLE_MK_PROTOCOL,iexplore.exe,1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_MIME_HANDLING,(Reserved),1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_MIME_HANDLING,explorer.exe,1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_MIME_HANDLING,iexplore.exe,1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_MIME_SNIFFING,(Reserved),1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_MIME_SNIFFING,explorer.exe,1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_MIME_SNIFFING,iexplore.exe,1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_RESTRICT_ACTIVEXINSTALL,(Reserved),1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_RESTRICT_ACTIVEXINSTALL,explorer.exe,1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_RESTRICT_ACTIVEXINSTALL,iexplore.exe,1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_RESTRICT_FILEDOWNLOAD,(Reserved),1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_RESTRICT_FILEDOWNLOAD,explorer.exe,1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_RESTRICT_FILEDOWNLOAD,iexplore.exe,1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_SECURITYBAND,(Reserved),1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_SECURITYBAND,explorer.exe,1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_SECURITYBAND,iexplore.exe,1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_WINDOW_RESTRICTIONS,(Reserved),1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_WINDOW_RESTRICTIONS,explorer.exe,1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_WINDOW_RESTRICTIONS,iexplore.exe,1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_ZONE_ELEVATION,(Reserved),1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_ZONE_ELEVATION,explorer.exe,1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_ZONE_ELEVATION,iexplore.exe,1
HKLM:\Software\Policies\Microsoft\Internet Explorer\PhishingFilter,EnabledV9,1
HKLM:\Software\Policies\Microsoft\Internet Explorer\PhishingFilter,PreventOverride,1
HKLM:\Software\Policies\Microsoft\Internet Explorer\PhishingFilter,PreventOverrideAppRepUnknown,1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Restrictions,NoCrashDetection,1
HKLM:\Software\Policies\Microsoft\Internet Explorer\Security,DisableSecuritySettingsCheck,0
HKLM:\Software\Policies\Microsoft\Internet Explorer\Security\ActiveX,BlockNonAdminActiveXInstall,1
