
Source        Description      HotFixID      InstalledBy          InstalledOn              
------        -----------      --------      -----------          -----------              
EC2AMAZ-DP... Update           KB5126048     EC2AMAZ-DPHCH5S\P... 9/11/2026 12:00:00 AM    
EC2AMAZ-DP... Update           KB4470502     NT AUTHORITY\SYSTEM  12/12/2018 12:00:00 AM   
EC2AMAZ-DP... Security Update  KB4470788     NT AUTHORITY\SYSTEM  12/12/2018 12:00:00 AM   
EC2AMAZ-DP... Update           KB4480056     NT AUTHORITY\SYSTEM  1/9/2019 12:00:00 AM     
EC2AMAZ-DP... Update           KB4486153     NT AUTHORITY\SYSTEM  3/11/2021 12:00:00 AM    
EC2AMAZ-DP... Security Update  KB4493510     NT AUTHORITY\SYSTEM  4/21/2019 12:00:00 AM    
EC2AMAZ-DP... Security Update  KB4499728     NT AUTHORITY\SYSTEM  5/15/2019 12:00:00 AM    
EC2AMAZ-DP... Security Update  KB4504369     NT AUTHORITY\SYSTEM  6/12/2019 12:00:00 AM    
EC2AMAZ-DP... Security Update  KB4512577     NT AUTHORITY\SYSTEM  9/11/2019 12:00:00 AM    
EC2AMAZ-DP... Security Update  KB4512937     NT AUTHORITY\SYSTEM  9/6/2019 12:00:00 AM     
EC2AMAZ-DP... Security Update  KB4521862     NT AUTHORITY\SYSTEM  10/9/2019 12:00:00 AM    
EC2AMAZ-DP... Security Update  KB4523204     NT AUTHORITY\SYSTEM  11/13/2019 12:00:00 AM   
EC2AMAZ-DP... Security Update  KB4535680     NT AUTHORITY\SYSTEM  1/13/2021 12:00:00 AM    
EC2AMAZ-DP... Security Update  KB4539571     NT AUTHORITY\SYSTEM  3/18/2020 12:00:00 AM    
EC2AMAZ-DP... Security Update  KB4549947     NT AUTHORITY\SYSTEM  4/15/2020 12:00:00 AM    
EC2AMAZ-DP... Security Update  KB4558997     NT AUTHORITY\SYSTEM  7/15/2020 12:00:00 AM    
EC2AMAZ-DP... Security Update  KB4562562     NT AUTHORITY\SYSTEM  6/10/2020 12:00:00 AM    
EC2AMAZ-DP... Security Update  KB4566424     NT AUTHORITY\SYSTEM  8/12/2020 12:00:00 AM    
EC2AMAZ-DP... Security Update  KB4570332     NT AUTHORITY\SYSTEM  9/9/2020 12:00:00 AM     
EC2AMAZ-DP... Security Update  KB4577667     NT AUTHORITY\SYSTEM  10/14/2020 12:00:00 AM   
EC2AMAZ-DP... Security Update  KB4587735     NT AUTHORITY\SYSTEM  11/11/2020 12:00:00 AM   
EC2AMAZ-DP... Update           KB4589208     NT AUTHORITY\SYSTEM  3/11/2021 12:00:00 AM    
EC2AMAZ-DP... Security Update  KB4598480     NT AUTHORITY\SYSTEM  1/13/2021 12:00:00 AM    
EC2AMAZ-DP... Security Update  KB4601393     NT AUTHORITY\SYSTEM  2/10/2021 12:00:00 AM    
EC2AMAZ-DP... Security Update  KB5000859     NT AUTHORITY\SYSTEM  3/11/2021 12:00:00 AM    
EC2AMAZ-DP... Security Update  KB5001404     NT AUTHORITY\SYSTEM  4/14/2021 12:00:00 AM    
EC2AMAZ-DP... Security Update  KB5003243     NT AUTHORITY\SYSTEM  5/12/2021 12:00:00 AM    
